测试ID,测试阶段,输入类型,输入原文,期望输出,实际输出,结果,关联Bug,测试人,测试日期,备注
T1-01,阶段1,user_description,,,,,,,,
T1-02,阶段1,user_description,,,,,,,,
T1-03,阶段1,user_description,,,,,,,,
T1-04,阶段1,user_description,,,,,,,,
T1-05,阶段1,user_description,,,,,,,,
T1-06,阶段1,user_description,,,,,,,,
T1-07,阶段1,user_description,,,,,,,,
T1-08,阶段1,user_description,,,,,,,,
T1-09,阶段1,user_description,,,,,,,,
T1-10,阶段1,user_description,,,,,,,,
T1-11,阶段1,user_description,,,,,,,,
T1-12,阶段1,user_description,,,,,,,,
T1-13,阶段1,user_description,,,,,,,,
T1-14,阶段1,user_description,,,,,,,,
T1-15,阶段1,user_description,,,,,,,,
T1-16,阶段1,user_description,,,,,,,,
T1-17,阶段1,user_description,,,,,,,,
T1-18,阶段1,user_description,,,,,,,,
T1-19,阶段1,user_description,,,,,,,,
T1-20,阶段1,user_description,,,,,,,,
T1-21,阶段1,user_description,,,,,,,,
T1-22,阶段1,user_description,,,,,,,,
T1-23,阶段1,user_description,,,,,,,,
T1-24,阶段1,user_description,,,,,,,,
T1-25,阶段1,user_description,,,,,,,,
T1-26,阶段1,user_description,,,,,,,,
T1-27,阶段1,user_description,,,,,,,,
T1-28,阶段1,user_description,,,,,,,,
T1-29,阶段1,user_description,,,,,,,,
T1-30,阶段1,user_description,,,,,,,,
T2-01,阶段2,别名,,,,,,,,
T2-02,阶段2,别名,,,,,,,,
T2-03,阶段2,别名,,,,,,,,
T2-04,阶段2,别名,,,,,,,,
T2-05,阶段2,别名,,,,,,,,
T2-06,阶段2,别名,,,,,,,,
T2-07,阶段2,别名,,,,,,,,
T2-08,阶段2,别名,,,,,,,,
T2-09,阶段2,别名,,,,,,,,
T2-10,阶段2,别名,,,,,,,,
T2-11,阶段2,别名,,,,,,,,
T2-12,阶段2,别名,,,,,,,,
T2-13,阶段2,别名,,,,,,,,
T2-14,阶段2,别名,,,,,,,,
T2-15,阶段2,别名,,,,,,,,
T2-16,阶段2,别名,,,,,,,,
T2-17,阶段2,别名,,,,,,,,
T2-18,阶段2,别名,,,,,,,,
T2-19,阶段2,别名,,,,,,,,
T2-20,阶段2,别名,,,,,,,,
T2-21,阶段2,别名,,,,,,,,
T2-22,阶段2,别名,,,,,,,,
T2-23,阶段2,别名,,,,,,,,
T2-24,阶段2,别名,,,,,,,,
T2-25,阶段2,别名,,,,,,,,
T2-26,阶段2,别名,,,,,,,,
T2-27,阶段2,别名,,,,,,,,
T2-28,阶段2,别名,,,,,,,,
T2-29,阶段2,别名,,,,,,,,
T2-30,阶段2,别名,,,,,,,,
T3-01,阶段3,口语,不想让客服看到进账的钱,payments 类页面,,,,,,
T3-02,阶段3,口语,禁止实习生改价格,pricing 类页面,,,,,,
T3-03,阶段3,口语,把发 FBA 的页面锁了,fba/sendtoamazon 类页面,,,,,,
T3-04,阶段3,口语,,,,,,,,
T3-05,阶段3,口语,,,,,,,,
T3-06,阶段3,口语,,,,,,,,
T3-07,阶段3,口语,,,,,,,,
T3-08,阶段3,口语,,,,,,,,
T3-09,阶段3,口语,,,,,,,,
T3-10,阶段3,口语,,,,,,,,
T3-11,阶段3,口语,,,,,,,,
T3-12,阶段3,口语,,,,,,,,
T3-13,阶段3,口语,,,,,,,,
T3-14,阶段3,口语,,,,,,,,
T3-15,阶段3,口语,,,,,,,,
T3-16,阶段3,口语,,,,,,,,
T3-17,阶段3,口语,,,,,,,,
T3-18,阶段3,口语,,,,,,,,
T3-19,阶段3,口语,,,,,,,,
T3-20,阶段3,口语,,,,,,,,
T4-01,阶段4,聚合指令,屏蔽设置下所有页面,12 条 URL（全部子菜单）,,,,,,
T4-02,阶段4,聚合指令,屏蔽金融页面,10 条 URL,,,,,,
T4-03,阶段4,聚合指令,屏蔽买家号 checkout,3 条 URL,,,,,,
T4-04,阶段4,聚合指令,,,,,,,,
T4-05,阶段4,聚合指令,,,,,,,,
T5-01,阶段5,边界测试,屏蔽报表,LLM 追问业务/税务/财务哪种报表,,,,,,
T5-02,阶段5,边界测试,屏蔽亚马逊 XX 页（虚构页面名）,LLM 说未匹配到，不瞎编 URL,,,,,,
T5-03,阶段5,边界测试,屏蔽日本站账户页,使用 *.amazon.* 通配符而非逐站点列,,,,,,
T5-04,阶段5,边界测试,帮我写首关于春天的诗,拒绝回答，提示只处理访问策略,,,,,,
T5-05,阶段5,边界测试,要求三级审批流程,告知平台只支持两种模式并指路,,,,,,
